0.1000	  3.4907
0.2000	  3.6429
0.3000	  3.8079
0.4000	  3.9583
0.5000	  4.1048
0.6000	  4.2564
0.7000	  4.4040
0.8000	  4.5437
0.9000	  4.6772
1.0000	  4.8088
1.1000	  4.9373
1.2000	  5.0554
1.3000	  5.1756
1.4000	  5.2829
1.5000	  5.3716
1.6000	  5.4632
1.7000	  5.5572
1.8000	  5.6239
1.9000	  5.6803
2.0000	  5.7275
2.1000	  5.7726
2.2000	  5.8205
2.3000	  5.8310
2.4000	  5.8619
2.5000	  5.8589
2.6000	  5.8563
2.7000	  5.8524
2.8000	  5.8151
2.9000	  5.7893
3.0000	  5.7564
3.1000	  5.7037
3.2000	  5.6617
3.3000	  5.6026
3.4000	  5.5242
3.5000	  5.4409
3.6000	  5.3805
3.7000	  5.2777
3.8000	  5.1909
3.9000	  5.0948
4.0000	  5.0016
4.1000	  4.8889
4.2000	  4.7874
4.3000	  4.6684
4.4000	  4.5680
4.5000	  4.4377
4.6000	  4.3268
4.7000	  4.2012
4.8000	  4.0796
4.9000	  3.9630
5.0000	  3.8275
5.1000	  3.7135
5.2000	  3.5889
5.3000	  3.4785
5.4000	  3.3483
5.5000	  3.2274
5.6000	  3.1080
5.7000	  2.9812
5.8000	  2.8705
5.9000	  2.7498
6.0000	  2.6352
6.1000	  2.5243
6.2000	  2.4102
6.3000	  2.2950
6.4000	  2.1859
6.5000	  2.0839
6.6000	  1.9778
6.7000	  1.8812
6.8000	  1.7824
6.9000	  1.6882
7.0000	  1.5939
7.1000	  1.5032
7.2000	  1.4162
7.3000	  1.3346
7.4000	  1.2507
7.5000	  1.1717
7.6000	  1.0954
7.7000	  1.0246
7.8000	  0.9551
7.9000	  0.8897
8.0000	  0.8273
8.1000	  0.7684
8.2000	  0.7117
8.3000	  0.6581
8.4000	  0.6059
8.5000	  0.5587
8.6000	  0.5135
8.7000	  0.4715
8.8000	  0.4322
8.9000	  0.3942
9.0000	  0.3594
9.1000	  0.3278
9.2000	  0.2974
9.3000	  0.2699
9.4000	  0.2443
9.5000	  0.2204
9.6000	  0.1989
9.7000	  0.1785
9.8000	  0.1604
9.9000	  0.1438
10.0000	  0.1285
